Date,SPY,,,TA35.TA,,,IEI,,,LQD,,,,,,
5/2/2022,0.014921332,0.47,0.1,0.041831575,0.21,0.06,-0.001623431,0.19,0.75,-0.003577345,0.11,0.2,0.015095697,975.4949002,975.1986049,0.002068985
5/3/2022,0.018671793,0.47,0.1,-0.02550449,0.21,0.06,0.000388252,0.19,0.75,-0.00078381,0.11,0.2,0.003407349,978.8187513,975.6582522,0.000471337
5/4/2022,-0.024424704,0.47,0.1,0.034856566,0.21,0.06,1.31E-05,0.19,0.75,-0.001656463,0.11,0.2,-0.004339459,974.5712073,975.0020588,-0.000672565
5/5/2022,0.006298892,0.47,0.1,-0.029790898,0.21,0.06,-0.001294086,0.19,0.75,-0.019982353,0.11,0.2,-0.005739545,968.9776123,969.0305617,-0.0061246
5/6/2022,-0.059969228,0.47,0.1,0.051713238,0.21,0.06,-0.003983287,0.19,0.75,-0.033338395,0.11,0.2,-0.021749805,947.902538,956.8699327,-0.012549273
5/7/2022,-0.02377356,0.47,0.1,-0.053232325,0.21,0.06,-0.006073946,0.19,0.75,-0.024198392,0.11,0.2,-0.026168234,923.0976023,942.5490028,-0.014966433
5/8/2022,0.001131127,0.47,0.1,0.028554884,0.21,0.06,0.000503986,0.19,0.75,0.017812858,0.11,0.2,0.008583327,931.0208511,947.9846514,0.005766967
5/9/2022,0.036896676,0.47,0.1,0.0084486,0.21,0.06,-0.001091638,0.19,0.75,-0.007728089,0.11,0.2,0.018058143,947.8333584,949.7215844,0.001832237
5/10/2022,-0.060224793,0.47,0.1,-0.02405494,0.21,0.06,0.000447898,0.19,0.75,-0.02974679,0.11,0.2,-0.036544236,913.1955121,937.2999763,-0.01307921
5/11/2022,0.006921972,0.47,0.1,7.03E-05,0.21,0.06,0.00543033,0.19,0.75,0.074158728,0.11,0.2,0.012457318,924.5714791,955.6719085,0.01960091
5/12/2022,0.009014318,0.47,0.1,-0.004492822,0.21,0.06,-0.000639431,0.19,0.75,-0.006507849,0.11,0.2,0.002455881,926.8421171,954.5735734,-0.001149281
5/13/2022,0.02263499,0.47,0.1,0.000386631,0.21,0.06,0.002889017,0.19,0.75,0.013281086,0.11,0.2,0.01272947,938.6403264,961.3602833,0.007109677
5/14/2022,-0.006026941,0.47,0.1,0.027136998,0.21,0.06,0.001409316,0.19,0.75,-0.034379647,0.11,0.2,-0.000647884,938.0321967,956.752083,-0.004793417
5/15/2022,0.039675403,0.47,0.1,-0.018822074,0.21,0.06,-0.000853795,0.19,0.75,0.030179823,0.11,0.2,0.017852363,954.7782884,964.6298213,0.008233835
5/16/2022,-0.023362953,0.47,0.1,-0.016088791,0.21,0.06,-0.001902161,0.19,0.75,0.000941926,0.11,0.2,-0.014617033,940.8222627,960.2505385,-0.004539858
5/17/2022,0.039552126,0.47,0.1,0.005531811,0.21,0.06,0.000112527,0.19,0.75,-0.000584639,0.11,0.2,0.01970825,959.3642227,964.3360098,0.004254589
5/18/2022,-0.057743864,0.47,0.1,0.024282302,0.21,0.06,-2.31E-05,0.19,0.75,0.008357918,0.11,0.2,-0.021125359,939.0973088,961.7677661,-0.002663225
5/19/2022,0.012412711,0.47,0.1,-0.021820435,0.21,0.06,-0.00073224,0.19,0.75,-0.013826524,0.11,0.2,-0.00040836,938.7138185,958.5146447,-0.00338244
5/20/2022,0.013186948,0.47,0.1,0.001179957,0.21,0.06,0.00612315,0.19,0.75,0.003173196,0.11,0.2,0.007958107,946.1842033,964.8566512,0.006616494
5/21/2022,0.007852361,0.47,0.1,0.017831843,0.21,0.06,0.002979101,0.19,0.75,0.023295414,0.11,0.2,0.010563821,956.1795242,973.297753,0.008748555
5/22/2022,-0.01184185,0.47,0.1,-0.00616863,0.21,0.06,0.000289464,0.19,0.75,-0.012409321,0.11,0.2,-0.008171109,948.366477,969.5806617,-0.003819069
5/23/2022,0.014952019,0.47,0.1,0.003594348,0.21,0.06,-0.002389899,0.19,0.75,0.006830266,0.11,0.2,0.008079511,956.028814,970.8260804,0.001284492
5/24/2022,-0.011410385,0.47,0.1,0.009085326,0.21,0.06,-0.002026252,0.19,0.75,0.002066851,0.11,0.2,-0.003612597,952.5750672,969.1735033,-0.001702238
5/25/2022,-0.016844319,0.47,0.1,-0.021119532,0.21,0.06,0.00094787,0.19,0.75,0.007699136,0.11,0.2,-0.011324931,941.7872198,968.4942346,-0.000700874
5/26/2022,0.017753491,0.47,0.1,-0.003243854,0.21,0.06,0.00090096,0.19,0.75,-0.013435941,0.11,0.2,0.00635616,947.7733705,968.0770552,-0.000430751
